claim_id,section,proposed_claim,claim_type,evidence_source_keys,primary_evidence,secondary_evidence,supporting_pages,contradicting_source_keys,source_independence,evidence_directness,confidence,status,interpretation_or_fact,limitations,final_wording
C11,Craft and Place,The object is a registered Philippine geographical indication.,legal status,ipophilgi2026,none,none,official register framework,none,independent,direct,low,rejected,fact,No registration was verified.,The general GI framework is not proof of registration.
C12,Craft and Place,"Heritage is produced through community, institutional, tourism, and policy practices.",heritage interpretation,smith2012;gonzalez2017;yasa2024;taalelpasubat2013;unescoICH,yasa2024;taalelpasubat2013,smith2012;gonzalez2017;unescoICH,Yasa 75 and 97; full web texts,none,independent,mixed,high,supported,interpretation,Comparative sources are not object-specific.,Heritage framing preserves and reshapes local identity simultaneously.
C13,Mechanical Aesthetics,Aesthetic experience can include dynamic interaction rather than static appearance alone.,design theory,rosswensveen2010;hekkert2006,none,rosswensveen2010;hekkert2006,Ross and Wensveen 3–4; Hekkert 157–172,none,independent,direct,high,supported,fact,General design theory.,Dynamic form makes interaction part of aesthetic experience.
C14,Mechanical Aesthetics,The transformation is externally legible to an observer.,visual interpretation,ccp1994;rosswensveen2010;ramstead2016,none,rosswensveen2010;ramstead2016,source notes,none,independent,indirect,medium,provisionally_supported,interpretation,No kinematic or technical analysis is performed.,The public change of configuration can be read as an observable event.
C15,Mechanical Aesthetics,Paired handles cause the object’s cultural history.,technological determinism,vandijkrietveld2017;ramstead2016;rietveldkiverstein2014,none,vandijkrietveld2017;ramstead2016;rietveldkiverstein2014,full articles,none,independent,direct,high,rejected,interpretation,Affordances are relational to abilities and practice.,Architecture is an enabling affordance whose salience depends on learned practices and institutions.
C16,Mechanical Aesthetics,"Symmetry, concealment, unfolding, rhythm, and feedback describe the visible transformation.",visual analysis,hekkert2006;rosswensveen2010,none,hekkert2006;rosswensveen2010,source notes,none,independent,indirect,medium,provisionally_supported,interpretation,"Public appearance only, not hidden structure.","These are interpretive visual categories, not technical claims."
C17,Performance,"Participatory culture turns repeatable visible acts into media for feedback, circulation, and mentorship.",media theory,jenkins2006;farnsworth2016;cox2005,none,jenkins2006;farnsworth2016;cox2005,Jenkins 3–9; Farnsworth et al. 139–160,none,independent,theory direct; object indirect,medium,provisionally_supported,interpretation,No object-specific community ethnography was found.,General theory informs a limited reading of public media; empirical community claims remain bounded.
C18,Performance,Competence and reputation are socially negotiated in communities of practice.,social learning,farnsworth2016;cox2005;ramstead2016,none,farnsworth2016;cox2005;ramstead2016,Farnsworth et al. 139–160,none,independent,direct,high,supported,fact,Not every online audience is a coherent community.,The paper distinguishes communities of practice from loose platform audiences.
C19,Performance,Online performance directly continues an unbroken Batangas craft tradition.,continuity,lardizabal1951;universitybatangas2024;jenkins2006,none,none,none,absence of transmission evidence,independent,indirect,low,insufficient,fact,No lineage evidence connects the domains.,"Continuity, rupture, and reinvention remain open alternatives."
C20,Performance,Media circulation can detach visible movement from local provenance and repackage it globally.,media interpretation,jenkins2006;yasa2024;municipalitytaal2013,yasa2024,jenkins2006;municipalitytaal2013,source notes,none,independent,indirect,medium,provisionally_supported,interpretation,No platform dataset or systematic content analysis.,"Media circulation may reframe the object, but scale and direction require study."
C21,Legal Classification,Federal statutory language classifies regulated knives partly through opening mechanisms.,legal,usc1241,usc1241,customs1971;taylor1988,15 U.S.C. §1241,none,independent official texts,direct,high,supported,fact,Federal historical and conceptual scope only.,The statute makes mechanism a classificatory fact without resolving every object.
C22,Legal Classification,U.S. authorities and courts historically reached divergent classifications.,legal,customs1971;taylor1988;riddall1991;strange1990;quattrone1989;caag1986,all listed opinions,usdoj1988,36 Fed. Reg. 9263; reported cases,none,independent jurisdictions,direct,high,supported,fact,Different texts and dates are not interchangeable.,Divergent outcomes show classification is produced through wording and interpretation.
C23,Legal Classification,State v. Riddall contains internal disagreement over classification.,legal,riddall1991,riddall1991,none,112 N.M. 78; 811 P.2d 576,majority and dissent,same opinion,direct,high,supported,fact,Historical New Mexico case only.,Majority and dissent made different category judgments about the same object.
C24,Legal Classification,People v. Lasanas proves Philippine origin or design history.,legal misuse,lasanas1987,none,none,G.R. Nos. L-48879-82,none,independent,indirect,low,rejected,fact,The case only preserves vocabulary in historical legal language.,Used only for legal vocabulary in a particular context.
C25,Boundary Object,"The object remains recognizable while craft, design, media, and law select different attributes.",synthesis,stargriesemer1989;lardizabal1951;rosswensveen2010;jenkins2006;riddall1991,lardizabal1951;riddall1991,stargriesemer1989;rosswensveen2010;jenkins2006,source notes,none,independent,mixed,medium,supported,interpretation,The domains do not necessarily cooperate.,Boundary object is used in an extended and qualified sense.
C26,Boundary Object,The four identities are competing interpretations of visible transformation.,synthesis,ramstead2016;stargriesemer1989;yasa2024;riddall1991,yasa2024;riddall1991,ramstead2016;stargriesemer1989,source notes,none,independent,mixed,medium,provisionally_supported,interpretation,No single source tests the synthesis.,Visible transformation is a shared interface through which institutions construct different meanings.
C27,Counterarguments,Heritage discourse can privilege some voices and support tourism or branding.,heritage counterargument,smith2012;gonzalez2017;taalelpasubat2013;yasa2024,taalelpasubat2013;yasa2024,smith2012;gonzalez2017,source notes,none,independent,mixed,high,supported,interpretation,Local maker testimony remains sparse.,Heritage is analyzed as preservation and contemporary cultural production.
C28,Counterarguments,Existing English and online sources represent all local perspectives.,method limitation,galvan2016;universitybatangas2024;municipalitytaal2013,none,none,source matrix,language and access gaps,independent,direct,high,rejected,fact,"Oral, Filipino-language, maker, and archival gaps remain.","The paper foregrounds linguistic, geographic, and archival limits."
C29,Conclusion,Visible movement can move social categories without determining them.,synthesis,vandijkrietveld2017;ramstead2016;stargriesemer1989;customs1971,customs1971,vandijkrietveld2017;ramstead2016;stargriesemer1989,source notes,none,independent,mixed,medium,supported,interpretation,"Analytical conclusion, not a causal model.",The object exposes category instability because transformation is public and socially mediated.
